1,Bierkeller,German,32.894146491759976,-97.10038661956787
2,Hofbräu,German,32.91158569379285,-97.09038734436035
3,Schnizelstube,German,32.91990773851293,-97.08577394485474
4,Tex's TexMex,Mexican,32.93795415942737,-97.08094596862793
5,Mario's,Italian,32.944725119912576,-97.1165657043457
6,Le Beuf,French,32.91936736975364,-97.11922645568848
7,Italian Bistro,Italian,32.852191873964635,-97.0825767517089
8,Sue's Sandwiches,American,32.83776989676744,-96.96001052856445
9,Tuscan Terror,Italian,32.94703000944158,-97.02249526977539
10,Chateau Noir,French,32.83575063295597,-97.02369689941406
11,Vin Rouge,French,32.7895835125104,-96.85752868652344
12,Frechie's,French,32.79304687845155,-96.74491882324219
13,St. Emillion,French,33.04205431422563,-97.02781677246094
14,La Cocina,Mexican,32.8922726541885,-97.18711853027344
15,Burrito Bill,Mexican,32.70873336852159,-97.09785461425781
16,Enchiladas Galore,Mexican,32.88189375925039,-97.09922790527344
17,Southlake Burgers,American,32.951639608226586,-97.1517562866211
18,Prairie Pasta,Italian,33.01614874362048,-97.07073211669922
19,Glade BBQ,American,32.88131711833199,-97.1023178100586
20,Long Prairie,German,33.01442143484886,-97.07210540771484
